,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
1,Server ,1,DELL,PowerEdge R420,RAK SERVER,10.10.17.50,,
,Server ,1,DELL,PowerEdge R420,RAK SERVER,10.10.17.40,,
2,Switch,1,hp,ProCurve E2810-24G,CN55FP71CD,Rack Server ( SW OFF ),Penggantian/Klaim dari CN41FP70BP,192.168.8.133
,Switch,1,hp,ProCurve E2810-24G,CN41FP70C5,Rack Server ( SW OFF - Backup),192.168.8.133,
,Switch,1,hp,ProCurve E2810-24G,CN46FP73YT,Rack Server ( SW WAN ),Penggantian/Klaim dari CN41FP70SY,10.10.17.122
,Switch,1,hp,ProCurve E2810-24G,CN41FP708F,Rack Server ( SW WAN - Backup),Penggantian/Klaim dari CN41FP708F,10.10.17.122
,Switch,1,hp,ProCurve E2810-24G,CN41FP70PH,wallmount FD 1.1 ( SW CI - DOMESTIK ),192.168.8.134,
,Switch,1,hp,ProCurve E2810-24G,CN41FP70NB,wallmount FD 2.1 ( SW GATE - DOMESTIK ),192.168.8.135,
,Switch,1,hp,ProCurve E2810-24G,CN41FP70KW,wallmount FD 1.3 ( SW CI - INTER ),192.168.8.136,
,Switch,1,hp,ProCurve E2810-24G,CN41FP70NB,wallmount FD 2.3 ( SW GATE - INTER ),192.168.8.137,
,Switch,1,hp,ProCurve E2810-24G,CN4AFP74V0,Office (Backup),192.168.8.136,
,,,,,,,,
,Switch,1,3COM,3COM,CN14BWQ0D7,kantor ( tidak bisa ditemukan IP),,
,,,,,,,,
3,Firewall 4-port,1,SOEKRIS,Net6501-70,QADP89PL,RAK SERVER,10.10.17.2,
,Firewall 4-port,1,SOEKRIS,Net6501-70,CNDGNJ81KN,RAK SERVER,10.10.17.3,
,,,,,,,,
4,KVM,1,Rextron,DHKS-10,DS0002NG004,RAK SERVER,,
,KVM,1,Rextron,DHKS-10,DS0002NG003,RAK SERVER,,
5,Rack 42U,2,INDORACK,OFFICE,,,,
,Rack 42U,1,ABBA,GUDANG AP2,,,,
6,PC,1,Dell,Optiplex 390,60CVQ12,CHECKIN 1,192.168.8.11,
,PC,1,Dell,Optiplex 390,267ZW02,CHECKIN 2,192.168.8.12,
,PC,1,Dell,Optiplex 390,757ZW02,CHECKIN 3,192.168.8.13,
,PC,1,Dell,Optiplex 390,H47ZW02,CHECKIN 4,192.168.8.14,
,PC,1,Dell,Optiplex 390,4781X02,CHECKIN 5,192.168.8.15,
,PC,1,Dell,Optiplex 390,G57ZW02,CHECKIN 6,192.168.8.16,
,PC,1,Dell,Optiplex 390,B781X02,CHECKIN 7,192.168.8.17,
,PC,1,Dell,Optiplex 390,257ZW02,CHECKIN 8,192.168.8.18,
,PC,1,Dell,Optiplex 390,C57ZW02,CHECKIN 9,192.168.8.19,
,PC,1,Dell,Optiplex 390,G77ZW02,CHECKIN 10,192.168.8.20,
,PC,1,Dell,Optiplex 390,9781X02,CHECKIN 11,192.168.8.21,
,PC,1,Dell,Optiplex 390,B77ZW02,CHECKIN 12,192.168.8.22,
,PC,1,Dell,Optiplex 390,J581X02,CHECKIN 13,192.168.8.23,
,PC,1,Dell,Optiplex 390,G681X02,CHECKIN 14,192.168.8.24,
,PC,1,Dell,Optiplex 390,3781X02,CHECKIN 15,192.168.8.25,
,PC,1,Dell,Optiplex 390,667ZW02,CHECKIN 16,192.168.8.26,
,PC,1,Dell,Optiplex 390,C77ZW02,TRANSIT,192.168.8.27,
,PC,1,Dell,Optiplex 390,D47ZW02,GATE 4A,192.168.8.28,
,PC,1,Dell,Optiplex 390,F681X02,GATE 4B,192.168.8.29,
,PC,1,Dell,Optiplex 390,467ZW02,GATE 5A,192.168.8.30,
,PC,1,Dell,Optiplex 390,677ZW02,GATE 5B,192.168.8.31,
,PC,1,Dell,Optiplex 390,B681X02,GATE 3A DOMESTIK,192.168.8.32,
,PC,1,Dell,Optiplex 390,D781X02,GATE 3B INTER,192.168.8.33,
,PC,1,Dell,Optiplex 390,H681X02,OFFICE ( BACKUP ),,
,PC,1,Dell,Optiplex 3020,5Q45H82,CHECKIN B1 ( Internasional ),Penambahan Baru,192.168.8.42
,PC,1,Dell,Optiplex 3020,5QH5H82,CHECKIN B2 ( Internasional ),Penambahan Baru,192.168.8.43
,PC,1,Dell,Optiplex 3020,5QN7H82,CHECKIN B3 ( Internasional ),Penambahan Baru,192.168.8.44
,PC,1,Dell,Optiplex 3020,5NH4H82,CHECKIN B4 ( Internasional ),Penambahan Baru,192.168.8.45
,PC,1,Dell,Optiplex 3020,5NFZG82,CHECKIN B5 ( Internasional ),Penambahan Baru,192.168.8.46
,PC,1,Dell,Optiplex 3020,5Q97H82,CHECKIN B6 ( Internasional ),Penambahan Baru,192.168.8.47
,PC,1,Dell,Optiplex 3020,5QN3H82,CHECKIN B7 ( Internasional ),Penambahan Baru,192.168.8.48
,PC,1,Dell,Optiplex 3020,5QP2H82,CHECKIN B8 ( Internasional ),Penambahan Baru,192.168.8.49
,PC,1,Dell,Optiplex 3020,5Q12H82,CHECKIN B9 ( Internasional ),Penambahan Baru,192.168.8.50
,PC,1,Dell,Optiplex 3020,5QH0H82,CHECKIN B10 ( Internasional ),Penambahan Baru,192.168.8.51
,PC,1,Dell,Optiplex 3020,5C4H82,GATE A1 ( Internasional ),Penambahan Baru,192.168.8.56
,PC,1,Dell,Optiplex 3020,5QH2G82,GATE B1 ( Internasional ),Penambahan Baru,192.168.8.57
,PC,1,Dell,Optiplex 3020,5Q72G82,GATE A2 ( Internasional ),Penambahan Baru,192.168.8.58
,PC,1,Dell,Optiplex 3020,5QQ3H82,GATE B2 ( Internasional ),Penambahan Baru,192.168.8.59
,PC,1,Dell,Optiplex 3020,5Q34H82,OFFICE ( BACKUP ),Penambahan Baru,
,PC,1,Dell,Optiplex 3020,5QL3H82,OFFICE ( BACKUP ),Penambahan Baru,
,,,,,,,,
,PC,1,LENOVO,1S34841A4PBY7M1X,,OFFICE,,
,,,,,,,,
,PC,1,ACER,PTSDS0901503602D213000,,OFFICE ( Controller ),,192.168.8.149
,,,,,,,,
7,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-0NZB,CHECKIN 1,,
,LCD,1,Dell,E1914HC,CN-0657PN-6418044U-1MLB,CHECKIN 2,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-0NVB,CHECKIN 3,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-1LVB,CHECKIN 4,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-0NNB,CHECKIN 5,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-1MAB,CHECKIN 6,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-0NMB,CHECKIN 7,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-0NSB,CHECKIN 8,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-1LEB,CHECKIN 9,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-0RCB,CHECKIN 10,,
,LCD,1,Dell,E1914HC,CN-0X0T4K-72872-43M -DYYB,CHECKIN 11,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-0PNB,CHECKIN 12,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-0UAB,CHECKIN 13,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-1M9B,CHECKIN 14,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-1KLB,CHECKIN 15,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-1L5B,CHECKIN 16,,
,LCD,1,Dell,E1914HC,CN-0X0T4K-72872-43M-DYKB,TRANSIT,,
,LCD,1,Dell,E1914HC,CN-0X0T4K-72872-43M-E05B,GATE 4A,,
,LCD,1,Dell,E1914HC,CN-0X0T4K-72872-43M-E0KB,GATE 4B,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-0PHB,GATE 5A,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-1JRB,GATE 5B,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-0PZB,GATE 3A,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-ONLB,OFFICE,,
,LCD,1,Dell,E1914HC,CN-0657PN-64180-44U-1KZB,OFFICE (Backup),,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-DGLU-AOO,CHECKIN B1 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-CFTU-AOO,CHECKIN B2 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-E01U-AOO,CHECKIN B3 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-C6YU-AOO,CHECKIN B4 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-C67U-AOO,CHECKIN B5 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-C5TU-AOO,CHECKIN B6 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-CEFU-AOO,CHECKIN B7 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-DPGU-AOO,CHECKIN B8 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-DRGU-AOO,CHECKIN B9 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-DGCU-AOO,CHECKIN B10 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-DR7U-AOO,GATE A1 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-DM7U-AOO,GATE B1 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-C6GU-AOO,GATE A2 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-ODFDMY-72872-58F-C70U-AOO,GATE B2 ( Internasional ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-CGMU-AOO,OFFICE ( BACKUP ),Penambahan Baru,
,LCD,1,Dell,E1916HI,CN-0DFDMY-72872-58F-C6FU-AOO,OFFICE ( BACKUP ),Penambahan Baru,
,LCD,1,DELL,OFFICE,,,,
,LCD,1,PROLINK,AH-1503,401401122201222,OFFICE,,
,LCD,1,PROLINK,AH-1503,401401122201208,GUDANG,,
,LCD,1,PROLINK,AH-1503,401401120601045,GUDANG,,
