No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
16,Scanner,1,Access,LSR-116,,Gate 1 (international),,
,Scanner,1,Access,LSR-116,,Gate 2,,
17,mouse,1,logitech,DZL-M-U0026,S/N:1628HS01LB49,gate 4,,
,mouse,1,logitech,DZL-M-U0027,S/N:1628HS01LB39,spare,,
,mouse,1,logitech,DZL-M-U0028,S/N:1628HS01LB29,spare,,
,mouse,1,logitech,DZL-M-U0029,S/N:1628HS01LB69,spare,,
,mouse,1,logitech,DZL-M-U0030,S/N:1628HS01LB19,spare,,
18,printhead,1,jedec-14,"S-7607,ULINE",,terpakai satu,,
,printhead,1,jedec-14,"S-7607,ULINE",,spare,,
,printhead,1,jedec-14,"S-7607,ULINE",,spare,,
,printhead,1,jedec-14,"S-7607,ULINE",,spare,,
,printhead,1,jedec-14,"S-7607,ULINE",,spare,,
19,flasdisk,1,sandisk,sandisk ultra 128GB USB 3.0,BP160425256B,dikantor,,
