No.;Data perangkat;Unit;Merk;Tipe;S/N;Lokasi;Data Pemeliharaan;IP
1;Server ;1;Dell;PowerEdge R720;TW-024V27-75021-2BC-0894-A00;Ruang server;cth: reparasi tgl ...;
;Server ;1;Dell;PowerEdge R720;TW-024V27-75021-2BC-0868-A00;Ruang server;ganti hdd tgl ... Dll;
;Server ;1;Dell;PowerEdge R720;TW-024V27-75021-2BC-1423-A00;Ruang server;;
;Server ;1;Dell;PowerEdge R720;TW-024V27-75021-2BC-1409-A00;Ruang server;;
;;;;;;;;
2;Core Switch;1;hp;ProCurve E5406;IN138TI14P;Ruang server;;
;Core Switch;1;hp;ProCurve E5406;IN132TI35P;Ruang server;;
;;;;;;;;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN148XJ0K7;Meja Stanby Island B (1);;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN120XJ0N5;Meja Stanby Island C (1);;
;Distribution Switch;1;hp;ProCurve E2810-48G;;Boarding Gate 3 dekat POLO (1);;
;Distribution Switch;1;hp;ProCurve E2810-48G;;Gang BHS (1);;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN2AFP60ST;Ruang Mezanine A (1);;
;Distribution Switch;1;hp;ProCurve E2810-48G;;Ruang Mezanine B (1);;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN2AFP60R3;Lt.2 Belakang Ruang APPS (1);;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN2AFP612R;Lt.2 Belakang Toko Souvenir Deli Serdang (1);;
;Distribution Switch;1;hp;ProCurve E2810-48G;;Ruang Maintenance dekat A&W (1);;
;Distribution Switch;1;hp;ProCurve E2810-48G;;Gedung Pertamina (1);;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN29FP607V;Ruang Stanby APPS 1;;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN2AFP610K;Ruang Stanby APPS 2;;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN120XJ0M2;Ruang Stanby APPS 3;;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN148XJ0LW;Ruang Stanby APPS 4;;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN120XJ0SC;Ruang Stanby APPS 5;;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN120XJ0C8;Ruang Stanby APPS 6;;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN148XJ01T;Ruang Stanby APPS 7;;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN2AFP60RP;Ruang Stanby APPS 8;;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN2AFP60Q1;Ruang Stanby APPS 9;;
;Distribution Switch;1;hp;ProCurve E2810-48G;CN017XJ0B4;Ruang Stanby APPS 10;;
;SFP Transceiver;2;HP ;hp x121 1G SFP ;;Boarding Gate 3 dekat POLO (2);;
