No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
1,Server ,4,Dell,PowerEdge R320,,Ruang server Ruang server Ruang server Ruang server,,10.10.22.30 10.10.22.40 10.10.22.50 10.10.22.60
,,,,,,,,
,,,,,,,,
,,,,,,,,
2,Switch 2 2 16 SFP Transceiver,20 8,hp kirim tgl 31/8,ProCurve E2530-48G,sisa belum,Ruang server (swoffice) Ruang server (swadmz) sunter,,10.10.22.121 192.168.122.223
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
3,Firewall 4-port ok,4,,,,Ruang server Ruang server Ruang server Ruang server,,10.10.22.2 10.10.22.3 10.10.22.4 10.10.22.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,KVM,1,Rextron,DHKS-10,,,,
5,Rack blm beli Wallmount blm beli,2 10,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6,UPS 3000VA,2,Liebert,PS3000RT3-230,Ruang server Ruang server,,,
7,PC,128 110 terkirim 18 sunter,hp,ProDesk 490 G3 MT,SGH552TWBG SGH552TW9W SGH602Q226 SGH602QY2X SGH553PY47 SGH602Q212 SGH552TWB5 SGH552TW9D SGH553PY2C SGH553PY9R SGH553PY2D SGH552TWB3 SGH552TW9Y SGH553PY2K SGH552TW9F SGH552TW7R SGH553PY2X SGH602Q235 SGH602Q234 SGH602Q236  SGH602Q23C SGH602Q232 SGH602q221 SGH602QY2D SGH602Q237 SGH553PY4D SGH553PY4W SGH553PY75 SGH553PY77 SGH553PY9M SGH553PY9Q SGH602QYYN SGH553PY9V SGH552TW8N SGH552TW98 SGH552TW99 SGH552TW9C SGH553PYBG SGH553PYBK SGH553PY1R SGH553PYBN SGH553PY76 SGH553PYBQ SGH553PYBS SGH552TW70 SGH552TW73 SGH552TW7N SGH552TW7Q SGH552TW8M SGH5602QZ27 SGH553PY1M SGH553PY1N SGH553PY1Q SGH553PY1S SGH553PY2L SGH553PY2N SGH553PY2P SGH553PY25 SGH552TW5M SGH663TW6P SGH552TWGX SGH552TW6Y SGH553PY2T SGH553PY37 SGH553PY38 SGH552TW56 SGH553PY3D SGH553PY40 SGH553PY4C SGH552TW4W SGH552TW50 SGH552TW51 SGH552TW53 SGH553PY3C SGH553PY28 SGH553PY4S SGH553PY8X SGH553PY9L SGH602QYYZ SGH20YQYYW SGH602QYYY SGH602QYYQ SGH602QYYP SGH552TWBZ SGH553PYBX SGH552TW75 SGH602QZIY Island F14 Island F15 SGH602QYZC SGH602QYYR SGH602QY2F SGH602QYZG Island F20 Island F21 Island F22 SGH602QZ0K SGH602QZ0L SGH552TW9M SGH552TW9L SGH553PYBL SGH602QYYM SGH553PYB6 SGH553PYB5 SGH553PYBP SGH602Q233 SGH602Q231 SGH602Q238 SGH602Q224 SGH602QZ2B,Gate11A Gate11B Gate11C Gate11D Gate12A Gate12B Gate12C Gate12D Gate13A Gate13B Gate13C Gate14A Gate14 B Gate14C Gate15A Gate15B Gate15C Gate15D Gate16A Gate16B Gate16C Gate17A Gate17B Gate17C Gate17D Island D1 Island D2 Island D3 Island D4 Island D5 Island D6 Island D7 Island D8 Island D9 Island D10 Island D11 Island D12 Island D14 Island D15 Island D16 Island D17 Island D18 Island D19 Island D20 Island D21  Island D22 Island D23 Island D24 Island D25 Island D26 Island E1 Island E2 Island E3 Island E4 Island E5 Island E6 Island E7 Island E8 Island E9 Island E10 Island E11 Island E12 Island E14 Island E15 Island E16 Island E17 Island E18 Island E19 Island E20 Island E21 Island E22 Island E23 Island E24 Island E25 Island F1 Island F2 Island F3 Island F4 Island F5 Island F6 Island F7 Island F8 Island F9 Island F10 Island F11 Island F12 Island F13 172.17.176.84 172.17.176.85 Island F16 Island F17 Island F18 Island F19 172.17.176.90 172.17.176.91 172.17.176.92 Island F23 Island F24 Island F25 Transfer01 Transfer02 Transfer03 Transfer04 Transfer05 Transfer06 Transfer07 Transfer08 Transfer09 Transfer10 R. Stanby,0,172.17.176.101 172.17.176.102 172.17.176.161 172.17.176.160 172.17.176.103 172.17.176.104 172.17.176.165 172.17.176.166 172.17.176.105 172.17.176.106 172.17.176.162 172.17.176.107 172.17.176.108 172.17.176.163 172.17.176.109 172.17.176.110 172.17.176.164 172.17.176.167 172.17.176.111 172.17.176.172 172.17.176.112 172.17.176.175 172.17.176.176 172.17.176.177 172.17.176.178 172.17.176.11 172.17.176.12 172.17.176.13 172.17.176.14 172.17.176.15 172.17.176.16 172.17.176.17 172.17.176.18 172.17.176.19 172.17.176.20 172.17.176.21 172.17.176.22 172.17.176.24 172.17.176.25 172.17.176.26 172.17.176.27 172.17.176.28 172.17.176.29 172.17.176.30 172.17.176.31 172.17.176.32 172.17.176.33 172.17.176.34 172.17.176.35 172.17.176.36 172.17.176.41 172.17.176.42 172.17.176.43 172.17.176.44 172.17.176.45 172.17.176.46 172.17.176.47 172.17.176.48 172.17.176.49 172.17.176.50 172.17.176.51 172.17.176.52 172.17.176.54 172.17.176.55 172.17.176.56 172.17.176.57 172.17.176.58 172.17.176.59 172.17.176.60 172.17.176.61 172.17.176.62 172.17.176.63 172.17.176.64 172.17.176.65 172.17.176.71 172.17.176.72 172.17.176.73 172.17.176.74 172.17.176.75 172.17.176.76 172.17.176.77 172.17.176.78 172.17.176.79 172.17.176.80 172.17.176.81 172.17.176.82 172.17.176.83 172.17.176.86 172.17.176.87 172.17.176.88 172.17.176.89 172.17.176.93 172.17.176.94 172.17.176.95 172.17.176.141 172.17.176.142 172.17.176.143 172.17.176.144 172.17.176.145 172.17.176.146 172.17.176.147 172.17.176.148 172.17.176.149 172.17.176.150
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
