No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
1,Server ,1,Dell,PowerEdge R410,2544120576,PABX,cth: reparasi tgl ...,10.10.16.70
,Server ,1,Dell,Model : E07S,24081556708,PABX,ganti hdd tgl ... Dll,10.10.16.80
,Server ,1,Dell,Model : E07S,4720903012,PABX,10.10.16.40,
,Server ,1,Dell,Model : E07S,32793724900,Office,Back UP,
2,Switch,1,hp,ProCurve E2810-24G,CN128X102X,PABX (SW Off),192.168.8.133,
,Switch,1,hp,ProCurve E2810-24G,CN204x101W,PABX (SW WANDMZ),192.168.8.19,
,Switch,1,hp,ProCurve E2810-24G,CN205X10FB,Kedatangan INTER,192.168.8.,
,Switch,1,hp,ProCurve E2810-24G,CN122X10HY,Sisi kanan kantor (SW CI),192.168.8.134,
,Switch,1,hp,ProCurve E2810-24G,CN122X10JO,Sisi kanan kantor (SW CI Backup),192.168.8.135,
,Switch,1,hp,ProCurve E2810-24G,CN122X10HP,Office,,
,Switch,1,hp,ProCurve E2810-24G,CN205X109B,Office,,
,Switch,1,hp,ProCurve E2810-24G,CN122X109K,Office (Rusak),,
,Switch,1,hp,ProCurve E2810-24G,CN204X100C,Office (Rusak),,
,Switch,1,3COM,3COM,CN14BWQOFK,Tiketing Bawah,192.168.8.136,
3,Firewall 4-port,1,SOEKRIS,Net6501-70,PABX,10.10.16.2,,
,Firewall 4-port,1,SOEKRIS,Net6501-70,PABX,10.10.16.3,,
4,KVM,1,Rextron,DHKS-10,DS0002MH00006,PABX,,
,GS9002MH00001,PABX,,,,,,
5,Rack 42U,1,ABBA,PABX,,,,
,Rack 42U,1,PABX,,,,,
,Rack 42U,1,ABBA,PABX (Penggantian AP),,,,
6,UPS 3000VA,1,APC,SUA3000RMi2U,JQ1043014291,PABX,,
,UPS 3000VA,1,APC,SUA3000RMi2U,AS1204146615,PABX,,
7,"32"" LED Display",1,LG,LT360C,250INWA41057,Office,,
,"33"" LED Display",1,LG,LT360C,205INSE991446,Office,,
,"34"" LED Display",1,LG,LT360C,205INZY41093,CI TB 23,,
,"35"" LED Display",1,LG,LT360C,205INMF91451,CI TB 22,,
,"36"" LED Display",1,LG,LT360C,205INXJ91458,CI TB 21,,
,"37"" LED Display",1,LG,LT360C,205INBS41061,CI TB 20,,
,Display Controller,1,Zotac,ZBOX-ID41,G114216907043,CI TB 20,192.168.8.90,
,Display Controller,1,Zotac,ZBOX-ID41,G114716900308,CI TB 21,192.168.8.91,
,Display Controller,1,Zotac,ZBOX-ID41,G114216907044,CI TB 22,192.168.8.92,
,Display Controller,1,Zotac,ZBOX-ID41,G112616900087,CI TB 23,192.168.8.93,
,Display Controller,1,Zotac,ZBOX-ID41,G114216902624,OFFICE,,
,Display Controller,1,Zotac,ZBOX-ID41,G115016900930,OFFICE Rusak,,
8,SSD,1,Torqx2,SATA I/II 3Gbps,Office,,,
,SSD,1,Torqx2,SATA I/II 3Gbps,Office,,,
,SSD,1,Torqx2,SATA I/II 3Gbps,Office,,,
,SSD,1,Torqx2,SATA I/II 3Gbps,Office,,,
,SSD,1,Torqx2,SATA I/II 3Gbps,Office,,,
,SSD,1,Torqx2,SATA I/II 3Gbps,Office,,,
,SSD,1,Torqx2,SATA I/II 3Gbps,Office,,,
,SSD,1,SATA I/II 3Gbps,Office (Rusak),,,,
9,PC,1,Dell,Optiplex 390,CX3DC2S / 28122432868,CHECKIN 1,192.168.8.11,
