No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
1,Server ,2 (1 dr terminal lama 1 dikirim baru),Dell,PowerEdge R420,82KBF22 D2KBF22,Di Kantor Di Kantor,,10.10.15.100 10.10.15.60/61
,,,,,,,,
,,,,,,,,
2,Switch,8,hp,ProCurve E2530-24G,CN 49FP705T CN 48FP746B CN 49FP71H1 CN 48FP73Z6 CN 49FP70FJ CN 48FP73YB CN 48FP73XX CN 48FP743Z,Di Kantor Di Kantor Di Kantor Di Kantor Di Kantor Dikantor (Backup) Dikantor (Backup) Di Gate,,192.168.7.134 (sw Office) 10.10.15.120 (sw WANDMZ) 192.168.7.62 (sw Checkin1) 192.168.7.61 (sw Checkin2) 192.168.7.142 192.168.7.137 192.168.7.138 192.168.7.60 (sw Gate)
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
3,Firewall 4-port,2,,,CN QADP88DG,Di Kantor  Spare,,10.10.15.3
,,,,,,,,
,,,,,,,,
4,KVM,1,Rextron,DHKS-10,GQ5602PK0001,Di Kantor,,
,,,,,,,,
5,Rack,2,,,,Di Kantor Di Kantor,,
,,,,,,,,
6,UPS 3000VA,2,APC,SUA3000RMi2U,AS1432 134316 AS1432 134323,Di Kantor Di Kantor,,
,,,,,,,,
,,,,,,,,
7,PC,24,Dell Acer Acer,Optiplex 7010 Aspire M1920 Aspire M1920,9JZTQ12 C4ZTQ12 DNWKW22 HQWKW22 9SWKW22 FTWKW22 6RWKW22 6QWKW22 3TWKW22 5SWKW22 6TWKW22 5PWKW22 1SWKW22 5TWKN22 BTWKW22 1PWKW22 BRWKW22 HTNKW22 72VKW22 4RWKW22 1VWKW22 GTWKW22 7TWKW22 FSWKW22 12701422692 12701423992,Counter01 Counter02 Counter03 Counter04 Counter05 Counter06 Counter07 Counter08 Counter09 Counter10 Counter11 Counter12 Counter13 Counter14 Counter15 Counter16 Counter17 Counter18 Counter19 Spare  Spare  Spare  Spare  Spare  Spare  Spare ,,192.168.7.11 192.168.7.12 192.168.7.13 192.168.7.14 192.168.7.15 192.168.7.16 192.168.7.17 192.168.7.18 192.168.7.19 192.168.7.20 192.168.7.21 192.168.7.22 192.168.7.23 192.168.7.24 192.168.7.25 192.168.7.26 192.168.7.27 192.168.7.28 192.168.7.29
,,,,,,,,
