No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
1,Server ,1,Dell,PowerEdge R420,Office,10.10.17.40,,
,Server ,1,Dell,Model : E07S,Office,10.10.17.50,,
2,Switch,1,hp,ProCurve E2530-24G,CN41FP70BP/CN41FP71CD,Office/Sw office,,192.168.8.133
,Switch,1,hp,ProCurve E2530-24G,CN41FP70PH,Office/Sw checkin 1,,192.168.8.134
,Switch,1,hp,ProCurve E2530-24G,CN41FP70KW,Office/Sw checkin2,,192.168.8.61
,Switch,1,hp,ProCurve E2530-24G,CN41FP70SY/CN41FP73YT,Office/Sw wandmz,,10.10.17.122
,Switch,1,hp,ProCurve E2530-24G,CN41FP70MM,Office/Backup checkin 2,,192.168.8.134
,Switch,1,hp,ProCurve E2530-24G,CN41FP70NB,Office/Backup Gate,,192.168.8.135
,Switch,1,hp,ProCurve E2530-24G,CN41FP708F,Office/Backup wandmz,,10.10.17.122
,Switch,1,hp,ProCurve E2530-24G,CN41FP70C5,Office/Backup office,,192.168.8.133
,Switch,1,hp,ProCurve E2530-24G,CN4AFP74V0,Office/Backup Sw Transit 1,,192.168.8.136
,Switch,1,3 Com,2250-SFP Plus,AA/92FDZS96B56D,OFFICE,,
3,Firewall 4-port,1,SOEKRIS,Net6501-70,CNDFMJ10PE,OFFICE - TERPASANG RACK SERVER,,192.168.8.129
,Firewall 4-port,1,SOEKRIS,Net6501-70,CNDGNJ81KN,OFFICE - TERPASANG RACK SERVER,,192.168.8.130
4,KVM,1,Rextron,Monitor& Keyboard,DS0002NG00004,OFFICE,,
,KVM,1,Rextron,Modul,GQ5602NG00003,OFFICE,,
5,Rack ,1,,,,OFFICE,,
6,PC,1,Dell,Optiplex 7010,60CVQ12,CHECKIN 1,,192.168.8.11
,PC,1,Dell,Optiplex 7011,267ZW02,CHECKIN 2,,192.168.8.12
,PC,1,Dell,Optiplex 7012,757ZW02,CHECKIN 3,,192.168.8.13
,PC,1,Dell,Optiplex 7013,H47ZW02,CHECKIN 4,,192.168.8.14
,PC,1,Dell,Optiplex 7014,4781X02,CHECKIN 5,,192.168.8.15
,PC,1,Dell,Optiplex 7015,G57ZW02,CHECKIN 6,,192.168.8.16
,PC,1,Dell,Optiplex 7016,B781X02,CHECKIN 7,,192.168.8.17
,PC,1,Dell,Optiplex 7017,257ZW02,CHECKIN 8,,192.168.8.18
,PC,1,Dell,Optiplex 7018,C57ZW02,CHECKIN 9,,192.168.8.19
,PC,1,Dell,Optiplex 7019,G77ZW02,CHECKIN 10,,192.168.8.20
,PC,1,Dell,Optiplex 7020,9781X02,CHECKIN 11,,192.168.8.21
,PC,1,Dell,Optiplex 7021,B77ZW02,CHECKIN 12,,192.168.8.22
,PC,1,Dell,Optiplex 7022,J581X02,CHECKIN 13,,192.168.8.23
,PC,1,Dell,Optiplex 7023,G681X02,CHECKIN 14,,192.168.8.24
,PC,1,Dell,Optiplex 7024,3781X02,CHECKIN 15,,192.168.8.25
,PC,1,Dell,Optiplex 7025,667ZW02,CHECKIN 16,,192.168.8.26
,PC,1,Dell,Optiplex 7026,C77ZW02,TRANSIT COUNTER,,192.168.8.27
,PC,1,Dell,Optiplex 7027,D47ZW02,GATE 3 INTER,,192.168.8.28
,PC,1,Dell,Optiplex 7028,F681X02,GATE 3 DOM,,192.168.8.29
,PC,1,Dell,Optiplex 7029,467ZW02,GATE 4A,,192.168.8.30
,PC,1,Dell,Optiplex 7030,677ZW02,GATE 4B,,192.168.8.31
,PC,1,Dell,Optiplex 7031,B681X02,GATE 5A,,192.168.8.32
,PC,1,Dell,Optiplex 7032,D781X02,GATE 5B,,192.168.8.33
,PC,1,Dell,Optiplex 7033,6581X02,OFFICE,,
,PC,1,ACER,PTS DS0901503602D213000,OFFICE/Controler,192.168.8.140,,
,PC,1,Lenovo,,ES10118681,Office Dikirim ke Jakarta 26 Oktober 2015,,10.10.17.30
,PC,1,Lenovo,,ES10118681,Dikirim ke Jakarta 26 Oktober 2015,,10.10.17.60
,"18"" LED",1,DELL,E1912Hf,CN-0657PN-64180-44U-0NMB,CHECKIN 1,,
,"18"" LED",1,DELL,E1912Hf,CN-0X0T4K-72872-43M-E05B,CHECKIN 2,,
,"18"" LED",1,DELL,E1912Hf,CN-0X0T4K-72872-43M -DYYB,CHECKIN 3,,
,"18"" LED",1,DELL,E1912Hf,CN-0657PN-64180-44U-0UAB,CHECKIN 4,,
,"18"" LED",1,DELL,E1912Hf,CN-0657PN-64180-44U-0NZB,CHECKIN 5,,
,"18"" LED",1,DELL,E1912Hf,CN-0657PN-64180-44U-1M9B,CHECKIN 6,,
,"18"" LED",1,DELL,E1912Hf,CN-0657PN-64180-44U-0NNB,CHECKIN 7,,
