No.;Data perangkat;Unit;Merk;Tipe;S/N;Lokasi;Data Pemeliharaan;IP
1;Server ;1;Dell;PowerEdge R320;;Ruang server;;10.10.22.30
;Server ;1;Dell;PowerEdge R321;;Ruang server;;10.10.22.40
;Server ;1;Dell;PowerEdge R322;;Ruang server;;10.10.22.50
;Server ;1;Dell;PowerEdge R323;;Ruang server;;10.10.22.60
2;Switch;20;hp;ProCurve E2530-48G;sisa belum;Ruang server (swoffice);;10.10.22.121
;Switch;2;hp;ProCurve E2530-48G;sisa belum;Ruang server (swadmz);;192.168.122.223
;Switch;2;hp;ProCurve E2530-48G;sisa belum;;kirim tgl 31/8;
;Switch;16;hp;ProCurve E2530-48G;sisa belum;sunter;;
;SFP Transceiver;8;hp;ProCurve E2530-48G;sisa belum;;;
;;;;;;;;
3;Firewall 4-port;1;;;;Ruang server;;10.10.22.2
;Firewall 4-port;1;;;;Ruang server;;10.10.22.3
;Firewall 4-port;1;;;;Ruang server;;10.10.22.4
;Firewall 4-port;1;;;;Ruang server;;10.10.22.5
4;KVM;1;Rextron;DHKS-10;;;;
;;;;;;;;
5;Rack;2;;;;;blm beli;
;;;;;;;;
;;;;;;;;
;Wallmount;10;;;;;blm beli;
;;;;;;;;
6;UPS 3000VA;1;Liebert;PS3000RT3-230;;Ruang server;;
;UPS 3000VA;1;Liebert;PS3000RT3-230;;Ruang server;;
7;PC;1;hp;ProDesk 490 G3 MT;SGH552TWBG;Gate11A;;172.17.176.101
;PC;1;hp;;SGH552TW9W;Gate11B;;172.17.176.102
;PC;1;hp;;SGH602Q226;Gate11C;;172.17.176.161
;PC;1;hp;;SGH602QY2X;Gate11D;;172.17.176.160
;PC;1;hp;;SGH553PY47;Gate12A;;172.17.176.103
;PC;1;hp;;SGH602Q212;Gate12B;;172.17.176.104
;PC;1;hp;;SGH552TWB5;Gate12C;;172.17.176.165
;PC;1;hp;;SGH552TW9D;Gate12D;;172.17.176.166
;PC;1;hp;;SGH553PY2C;Gate13A;;172.17.176.105
;PC;1;hp;;SGH553PY9R;Gate13B;;172.17.176.106
;PC;1;hp;;SGH553PY2D;Gate13C;;172.17.176.162
;PC;1;hp;;SGH552TWB3;Gate14A;;172.17.176.107
;PC;1;hp;;SGH552TW9Y;Gate14 B;;172.17.176.108
;PC;1;hp;;SGH553PY2K;Gate14C;;172.17.176.163
;PC;1;hp;;SGH552TW9F;Gate15A;;172.17.176.109
;PC;1;hp;;SGH552TW7R;Gate15B;;172.17.176.110
;PC;1;hp;;SGH553PY2X;Gate15C;;172.17.176.164
;PC;1;hp;;SGH602Q235;Gate15D;;172.17.176.167
;PC;1;hp;;SGH602Q234;Gate16A;;172.17.176.111
;PC;1;hp;;SGH602Q236;Gate16B;;172.17.176.172
;PC;1;hp;; SGH602Q23C;Gate16C;;172.17.176.112
;PC;1;hp;;SGH602Q232;Gate17A;;172.17.176.175
;PC;1;hp;;SGH602q221;Gate17B;;172.17.176.176
;PC;1;hp;;SGH602QY2D;Gate17C;;172.17.176.177
;PC;1;hp;;SGH602Q237;Gate17D;;172.17.176.178
;PC;1;hp;;SGH553PY4D;Island D1;;172.17.176.11
;PC;1;hp;;SGH553PY4W;Island D2;;172.17.176.12
