No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
1,Server ,4,Dell,PowerEdge R720,TW-024V27-75021-2BC-0894-A00 TW-024V27-75021-2BC-0868-A00 TW-024V27-75021-2BC-1423-A00 TW-024V27-75021-2BC-1409-A00,Ruang server,cth: reparasi tgl ... ganti hdd tgl ... Dll,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2,Core Switch,2,hp,ProCurve E5406,IN138TI14P IN132TI35P,Ruang server,,
,,,,,,,,
,,,,,,,,
3,Distribution Switch,20,hp,ProCurve E2810-48G,CN148XJ0K7 CN120XJ0N5 CN2AFP60ST CN2AFP60R3 CN2AFP612R Ruang Maintenance dekat A&W (1) CN29FP607V CN2AFP610K CN120XJ0M2 CN148XJ0LW CN120XJ0SC CN120XJ0C8 CN148XJ01T CN2AFP60RP CN2AFP60Q1 CN017XJ0B4,Meja Stanby Island B (1) Meja Stanby Island C (1) Boarding Gate 3 dekat POLO (1) Gang BHS (1) Ruang Mezanine A (1) Ruang Mezanine B (1) Lt.2 Belakang Ruang APPS (1) Lt.2 Belakang Toko Souvenir Deli Serdang (1) Gedung Pertamina (1) Ruang Stanby APPS (10): 1 2 3 4 5 6 7 8 9 10,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
4,SFP Transceiver,20,HP ,hp x121 1G SFP  LC LX Transceiver Lifetime (J4859C),Boarding Gate 3 dekat POLO (2) Gang BHS (1) Ruang Mezanine A (2) Ruang Mezanine B (1) Lt.2 Belakang Ruang APPS (1) Lt.2 Belakang Toko Souvenir Deli Serdang (1) Ruang Maintenance dekat A&W (1) Gedung Pertamina (1) Ruang stanby APPS (2) Ruang Server (8),,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
5,Firewall 4-port,4,SOEKRIS,Ruang server,,,,
,,,,,,,,
6,KVM,1,Rextron,DHKS-10,DS0002NG00005,Ruang server,,
,,,,,,,,
7,Rack 42U,3,ABBA,,,Ruang Server (2)R uang Admin APS (1),,
,,,,,,,,
,,,,,,,,
8,UPS 5000VA,3,APC,SUA5000RMi5U,IS1252003934 IS1252003928 IS1252003926,Ruang Server(2) Ruang Stanby APPS(1),,
,,,,,,,,
,,,,,,,,
,,,,,,,,
9,"32"" LED Display",24,LG,LT360C,306INMF5E579 306INXJ5E682 306INLV5E576 306INEW5E532 306INTX5E913 306INGQ5E671 306INWA5E897 306INFK5E683 306INRC5E542 306INDP5E578 306INXTX5E577 306INKH5E677 306INAR5E680 306INDP5E674 306INAR5E944 306INEW5E892 306INXJ5E946 306INMF5E531 306INWA5E681 306INMF5E675 306INNG5E535 306INYD5E906 306INUB5E678 306INEW5E676,Ruang Stanby APPS (24) 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10,Display Controller,24,,,,Ruang standby APPS,,
,,,,,,,,
11,PC,"115 Kontrak 3010, diganti  kontrak: 108 7010 karena 3010 uda discontinue (3010 model  lama krn tender thn '12)",Dell,Optiplex 7010,"B7XVF2S 1MPJG2S BQGLF2S 9KPJG2S FLPJG2S GPGLF2S 78XVF2S G7XVF2S 3QGLF2S 4LPJG2S 1LPJG2S 39XVF2S 38XVF2S 77XVF2S 88XVF2S 5LPJG2S 5QGLF2S FQGLF2S HJDM8X1 2RGLF2S F9XVF23 GKPJG2S 3NPJG2S BMPJG2S 68XVF2S FKPJG2S 9MPJG2S 6KPJG2S B9XVF2S J7NJG2S CKPJG2S 69XVF2S 28NJG2S BPGLF2S 7MPJG2S 7LPJG2S D9XVF2S HLPJG2S JKPJG2S F8XVF2S 7QGLF2S 8PGLF2S 7QGLF2S 7KPJG2S JLPJG2S DLPJG2S 8LPJG2S D8XVF2S JMPJG2S 8MPJG2S 17XVF2S 5KPJG2S J5XVF2S HMPJG2S DKPJG2S 4KPJG2S 4NPJG2S 57XVF2S H7XVF2S 2QGLF2S CMPJG2S 3KPJG2S GLPJG2S 2LPJG2S GSXVF2S 27XVF2S 7RGLF2S 47XVF2S CLPJG2S 76XVF2S 5PGLF2S H8XVF2S 1NPJG2S 89XVF2S 6HDM8X1 4ZKZWX1 G9XVF2S JPGLF2S 8RGLF2S 18NJG2S 9LPJG2S 3MPJG2S 6MPJG2S BKPJG2S 4MPJG2S 2MPJG2S C8XVF2S H6XVF2S 6LPJG2S 79XVF2S
5MPJG2S
37XVF2S


DDLZWX1
98XVF2S
7YKZWX1
HKPJG2S
3LPJG2S
GGDM8X1
29XVF2S
7FDM8X1
F6DM8X1
28XVF2S
HBDM8X1
CFDM8X1
59XVF2S

B8XVF2S
DRGLF2S
CCDM8X1
19XVF2S
GMPJG2S
FMPJG2S
48XVF2S
BLPJG2S
2NPJG2S
DMPJG2S
","Counter Checkin (87) A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A14 A15 A16 A17 A18 A19 A20 A21 A22 A23 B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B14 B15 B16 B17 B18 B19 B20 B21 B22 B23 B24 C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D14 D15 D16 D17 D18 D19 D20 D21 D22 D23 D24 Boarding Gate (11) GATE 1
GATE 2
GATE 3
GATE 4
GATE 5
GATE 6
GATE 7
GATE 8
GATE 9
GATE 10
GATE 11
Transfer Desk/Transit (1) Meja Stanby Island B (4) 1
2
3

Ruang Stanby APPS (13)
1
2
3
4
5
6
7
8
9
10
11
12
13
",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
