No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
12,Thermal printer,1,Epson,Epson TM-T 881V,NK6F001652,Transfer Desk/Transit (1),,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000433,Ruang Stanby APPS 1,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F001651,Ruang Stanby APPS 2,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000453,Ruang Stanby APPS 3,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000415,Ruang Stanby APPS 4,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F001649,Ruang Stanby APPS 5,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000470,Ruang Stanby APPS 6,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000429,Ruang Stanby APPS 7,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000438,Ruang Stanby APPS 8,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000381,Ruang Stanby APPS 9,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000445,Ruang Stanby APPS 10,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000466,Ruang Stanby APPS 11,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000468,Ruang Stanby APPS 12,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F001650,Ruang Stanby APPS 13,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000410,Ruang Stanby APPS 14,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000426,Ruang Stanby APPS 15,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK6F003503,Ruang Stanby APPS 16,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000452,Counter Checkin A1,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000443,Counter Checkin A2,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000474,Counter Checkin A3,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000397,Counter Checkin A4,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000161,Counter Checkin A5,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000394,Counter Checkin A6,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000383,Counter Checkin A7,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000392,Counter Checkin A8,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000181,Counter Checkin A9,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000460,Counter Checkin A10,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000454,Counter Checkin A11,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000265,Counter Checkin A14,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000461,Counter Checkin A15,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000451,Counter Checkin A16,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000467,Counter Checkin A17,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000396,Counter Checkin A18,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000457,Counter Checkin A19,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000458,Counter Checkin A20,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000406,Counter Checkin A21,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000328,Counter Checkin A22,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000459,Counter Checkin A23,,
,Thermal printer,1,Epson,Epson TM-T 881V,NK7F000403,Counter Checkin B1,,
