No.;Data perangkat;Unit;Merk;Tipe;S/N;Lokasi;Data Pemeliharaan;IP
1;Server ;1;Dell;PowerEdge R320;792Z992;Ruang Control;;10.10.19.30
;Server ;1;Dell;PowerEdge R320;792X992;Ruang Control;;10.10.19.40
2;Switch;1;HP;ProCurve E2530-24G;CN 59FP748L;Ruang Control;;10.10.19.21
;Switch;1;HP;ProCurve E2530-24G;CN 59FP745T;Ruang Control;;192.168.19.4
;Switch;1;HP;ProCurve E2530-24G;CN 59FP745L;Ruang Control;;192.168.19.5
;Switch;1;HP;ProCurve E2530-24G;CN 59FP75NR;Ruang Control;;192.168.19.6
;Switch;1;HP;ProCurve E2530-24G;CN 59FP7563;Switch Gate 01;;192.168.19.7
;Switch;1;HP;ProCurve E2530-24G;CN 59FP745X;Switch Gate 02;;192.168.19.8
;Switch;1;HP;ProCurve E2530-24G;Q7FY237335;Back Up;;
;Switch;1;HP;ProCurve E2530-24G;CN 59FP744X;Back Up;;
3;Firewall 4-port;1;;;CN QADJ86PL;Ruang Control;;10.10.19.2
;Firewall 4-port;1;;;CN QADP64PL;Ruang Control;;10.10.19.3
4;KVM;1;Rextron;DHKS-10;Q05602QE90034;Ruang Control;;
5;Rack;1;ABBA ;"ABBA RACK 19"" & 24""";;Ruang Control;;
;Rack;1;ABBA ;"ABBA RACK 19"" & 24""";;Ruang Control;;
6;UPS 3000VA;1;APC;APC 3000 VA;AS 1535234768;Ruang Control;;
;UPS 3000VA;1;APC;APC 3000 VA;AS 1535234759;Ruang Control;;
7;PC;1;Dell;Dell Optiplex 3040;2FVQ7C2;Ci 01 A;;192.168.19.11
;PC;1;Dell;Dell Optiplex 3040;2FHP7C2;Ci 01 B;;192.168.19.12
;PC;1;Dell;Dell Optiplex 3040;2FKK7C2;Ci 02 A;;192.168.19.13
;PC;1;Dell;Dell Optiplex 3040;2FTJ7C2;Ci 02 B;;192.168.19.14
;PC;1;Dell;Dell Optiplex 3040;2FRL7C2;Ci 03A;;192.168.19.15
;PC;1;Dell;Dell Optiplex 3040;2FLM7C2;Ci 03 B;;192.168.19.16
;PC;1;Dell;Dell Optiplex 3040;2FJL7C2;Ci 04 A;;192.168.19.17
;PC;1;Dell;Dell Optiplex 3040;2FNL7C2;Ci 04 B;;192.168.19.18
;PC;1;Dell;Dell Optiplex 3040;2FPP7C2;Ci 05 A;;192.168.19.19
;PC;1;Dell;Dell Optiplex 3040;2FQJ7C2;Ci 05 B;;192.168.19.20
;PC;1;Dell;Dell Optiplex 3040;2FRP7C2;Ci 06 A;;192.168.19.21
;PC;1;Dell;Dell Optiplex 3040;2FKP7C2;Ci 06 B;;192.168.19.22
;PC;1;Dell;Dell Optiplex 3040;2FTP7C2;Ci 07 A;;192.168.19.23
;PC;1;Dell;Dell Optiplex 3040;2FVP7C2;Ci 07B;;192.168.19.24
;PC;1;Dell;Dell Optiplex 3040;2FWH7C2;Ci 08 A;;192.168.19.25
;PC;1;Dell;Dell Optiplex 3040;2FWK7C2;Ci 08 B;;192.168.19.26
;PC;1;Dell;Dell Optiplex 3040;2FWL7C2;Ci 09 A;;192.168.19.27
;PC;1;Dell;Dell Optiplex 3040;2FWM7C2;Ci 09 B;;192.168.19.28
;PC;1;Dell;Dell Optiplex 3040;2FNR7C2;Ci 10 A;;192.168.19.29
;PC;1;Dell;Dell Optiplex 3040;2FVN7C2;Ci 10 B;;192.168.19.30
;PC;1;Dell;Dell Optiplex 3040;2FQN7C2;Gate 05;;192.168.19.31
;PC;1;Dell;Dell Optiplex 3040;2FTN7C2;Gate 06;;192.168.19.32
;PC;1;Dell;Dell Optiplex 3040;2FLK7C2;Gate 07;;192.168.19.33
;PC;1;Dell;Dell Optiplex 3040;2FLJ7C2;Gate 08;;192.168.19.34
;PC;1;Dell;Dell Optiplex 3040;2FSQ7C2;Ruang Control;;192.168.19.230
;PC;1;Dell;Dell Optiplex 3040;2FLR7C2;Ruang Control;;192.168.19.231
8;LCD;1;Dell;Dell E1916H;613 C5GB;Ci 01 A;;
;LCD;1;Dell;Dell E1916H;613 D6NB;Ci 01 B;;
;LCD;1;Dell;Dell E1916H;613 CDMB;Ci 02 A;;
;LCD;1;Dell;Dell E1916H;613 CDRB;Ci 02 B;;
;LCD;1;Dell;Dell E1916H;613 CDVB;Ci 03A;;
;LCD;1;Dell;Dell E1916H;613 CE2B;Ci 03 B;;
;LCD;1;Dell;Dell E1916H;613 CE8B;Ci 04 A;;
