No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
16,Kios,1,,,,,,10.10.18.43
,Kios,1,,,,,,10.10.18.52
17,WALLMOUNT,1,,,,Spare,,
18,Tools Set,1,TEKIRO,,,Di ruang kontrol,,
19,WiFi Card PCI -Express,1,EDUP,EP-9601,,Di PC ruang kontrol,,
,WiFi Card PCI -Express,1,EDUP,EP-9601,,Di  PC ruang kontrol,,
,WiFi Card PCI -Express,1,EDUP,EP-9601,,Spare,,
20,Hub 8 port /  D-Link,1,D-LINK,DES-1008D,F302381003940,Di Counter Cek-In 01,,
,Hub 8 port /  D-Link,1,D-LINK,DES-1008D,F302381003940,Spare,,
21,TP-Link WiFi,1,TP-LINK,TL-WR720N,2158349007252,Spare,,
,TP-Link WiFi,1,TP-LINK,TL-WR720N,2158349007242,Spare,,
22,USB Flash Disk 128 GB,1,SANDISK,,,Di ruang kontrol,,
23,Keyboard WiFi,1,LOGITECH,K400 PLUS,1524SCF07298,Di ruang kontrol,,
24,Vacum,1,DENPOO,HRV-8003,,Di ruang kontrol,,
25,Cleaning Kit,1,,,,Di ruang kontrol,,
26,HT,2,HYT,TC-700,,Di ruang kontrol,,
27,USB 2.0 Extender Cable,1,ATEN,UE-250,Z3F2-006BA-0539,Spare,,
