No.;Data perangkat;Unit;Merk;Tipe;S/N;Lokasi;Data Pemeliharaan;IP
1;Server ;1;Dell;PowerEdge R420;2WJBF22;Di Kantor;;10.10.12.60
;Server ;1;Dell;PowerEdge R420;JVJBF22;Di Kantor;;10.10.12.70
;;;;;;;;
2;Switch;1;hp;ProCurve E2530-24G;CN49FP70CG;Di Kantor;;10.10.12.251
;Switch;1;hp;ProCurve E2530-24G;CN48FP745P;Di Kantor;;192.168.3.250
;Switch;1;hp;ProCurve E2530-24G;CN41FP70TD;Di Kantor;;192.168.3.65
;Switch;1;hp;ProCurve E2530-24G;CN49FP7054;Office Airline;;192.168.3.73
;Switch;1;hp;ProCurve E2530-24G;CN48FP73SN;Chek-in Counter;;192.168.3.74
;Switch;1;hp;ProCurve E2530-24G;CN48FP747G;Chek-in Counter;;192,168.3.68
;Switch;1;hp;ProCurve E2530-24G;CN49FP70HZ;Chek-in Counter;;192,168.3.69
;Switch;1;hp;ProCurve E2530-24G;CN49FP71GB;Display;;192.168.3.71
;Switch;1;hp;ProCurve E2530-24G;CN48FP73ZK;Ticketing;;192.168.3.70
;Switch;1;hp;ProCurve E2530-24G;CN48FP753P;Gate;;192.168.3.72
;;;;;;;;
3;Firewall 4-port;1;;;CN QADP87HI;Di Kantor;;
;Firewall 4-port;1;;;CN QADP96HL;Di Kantor;;
;;;;;;;;
4;KVM;1;Rextron;DHKS-10;GQ5602PK0002;Di Kantor;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
6;UPS 3000VA;1;APC;SUA3000RMi2U;AS141023 0319;Di Kantor;;
;UPS 3000VA;1;APC;SUA3000RMi2U;AS141023 0474;Di Kantor;;
;;;;;;;;
7;PC;1;Dell;Optiplex 7010;F0ZTQ12;Counter01;;192.168.3.75
;PC;1;Dell;Optiplex 7010;60ZTQ12;Counter02;;192.168.3.76
;PC;1;Dell;Optiplex 7010;C5ZTQ12;Counter03;;192.168.3.77
;PC;1;Dell;Optiplex 7010;F5ZTQ12;Counter04;;192.168.3.78
;PC;1;Dell;Optiplex 7010;20ZTQ12;Counter05;;192.168.3.79
;PC;1;Dell;Optiplex 7010;C2ZTQ12;Counter06;;192.168.3.80
;PC;1;Dell;Optiplex 7010;8SZTQ12;Counter07;;192.168.3.81
;PC;1;Dell;Optiplex 7010;9RZTQ12;Counter08;;192.168.3.82
;PC;1;Dell;Optiplex 7010;4SZTQ12;Counter09;;192.168.3.83
