No.,Data perangkat,Unit,Merk,Tipe,S/N,Lokasi,Data Pemeliharaan,IP
1,Server ,2,Dell,PowerEdge R420,CVHVF42 44KSF42,Di ruang server AP2 Di ruang server AP2,,10.10.18.40 10.10.18.50
,,,,,,,,
2,Switch DMZ Switch OFFICE Switch CI 1 Switch CI 2,10,hp,ProCurve E2530-24G,CN48FP73ZW CN42FP738C CN48FP73R4 CN42FP745G,Di ruang server AP2 Di ruang server AP2 Di ruang server AP2 Di ruang server AP2 Spare Spare Spare Spare Spare Spare,,10.10.18.120 192.168.9.138 192.168.9.135 192.168.9.136
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
3,Firewall 4-port,2,,,CNQADP99HL CNZ0PG60R1,Di ruang server AP2 Di ruang server AP2,,10.10.18.2 10.10.18.3
,,,,,,,,
4,KVM,1,Rextron,DHKS-10,Di ruang server AP2,,,
5,Rack,2,,,Di ruang server AP2 Di ruang server AP2,,,
,,,,,,,,
6,UPS 3000VA,2,APC,SUA3000RMi2U,AS1446133292 AS1446133302,Di ruang server AP2 Di ruang server AP2,,
,,,,,,,,
7,PC,23,Dell,Optiplex 7020,11VKW22 / 2290291274 3LTKW22 / 7849820234 DHTKW22 / 29375778890 FFTKW22 / 33608411210 BTVKW22 / 25751167562 7HTKW22 / 16315084874 39TKW22 / 7124226122 JFTKW22 / 42315540554 5GTKW22 / 11901054026 BCTKW22 / 24719883338 HKTKW22 / 38264306762 4BTKW22 / 9421940810 8JTKW22 / 18612799562 C8TKW22 / 26654800970 H7TKW22 / 37478246474 C6TKW22 / 26533868618 4JTKW22 / 9905670218 Spare Spare Spare Spare Spare Spare,Counter01 Counter02 Counter03 Counter04 Counter05 Counter06 Counter07 Counter08 Counter09 Counter10 Gate03 Gate02 Gate03 Gate02 Di ruang kontrol Di ruang kontrol Di ruang kontrol,,192.168.9.10 192.168.9.11 192.168.9.12 192.168.9.13 192.168.9.14 192.168.9.15 192.168.9.16 192.168.9.17 192.168.9.18 192.168.9.19 192.168.9.30 192.168.9.31 192.168.9.32 192.168.9.33 192.168.9.140 192.168.9.141
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
